t=2023-03-14T10:23:35+0000 lvl=info msg="no configuration paths supplied"
t=2023-03-14T10:23:35+0000 lvl=info msg="using configuration at default config path" path=/home/whitesun13/.config/ngrok/ngrok.yml
t=2023-03-14T10:23:35+0000 lvl=info msg="open config file" path=/home/whitesun13/.config/ngrok/ngrok.yml err=nil
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=a135a6cda53a l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=ceb45e3629fd l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=1263a913e396 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=1a117d5f3bb5 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=f8e40a1808a6 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=8f908bc4be19 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=aed3b8a14d80 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=4d100245c15e l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=9919c74ff08b l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=890f361798e9 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=55e1f08687ea l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=3e323f0df740 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=dc24eaa5a387 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=529a0f1f94f1 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=6738ea16949e l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=7029ccbde015 l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=1b76c340e1bf l=127.0.0.1:8080 r=85.91.223.159:57362
t=2023-03-14T11:16:47+0000 lvl=info msg="join connections" obj=join id=2ae65a48a7f6 l=127.0.0.1:8080 r=85.91.223.159:57362
